Movie Name;Overall_Rating;Review_Title;Review_Date;Review_Text;Recommend 
Mamma Mia! (2008);8;Surprisingly Infectious Fun;14.01.2008;"Abba's music never did much for me as pop songs, but in the context of a musical, they work quite well. There are a couple numbers I think could have been left out, specifically Baranski's ""Does Your Mother Know"" and Streep and Brosnan's ""Winner Takes It All"", but even those weren't bad. The singing is good pretty much across the board. Even the weakest singer, Pierce Brosnan, did a surprisingly good job. His voice has a certain Peter Gabriel quality to it (with a dash of Randy Newman).";yes
Mamma Mia! (2008);9;It Was Brilliant Feel Good Musical At Its Best!!;01.07.2008;I absolutely loved the screen adaptation of Mamma Mia! The look of it was gorgeous, never has a Greek island looked so beautiful! I loved Meryl Streep as Donna, she cam across as an honest and good-hearted character. I loved Amanda ans Sophie and my only big casting problem was Pierce Brosnan, you may want to cover your ears when he sings, he's horrible. Some of the songs seemed a bit forced in the storyline, but some of them felt at home. I saw an advanced screening and the sound wasn't very good but that could have been because of the spot where we were sitting. The movie was ultimate feel good! I loved it! It was very bright and bouncy the whole time. I didn't feel that there was one slow moment in the movie! I think my favorite moment in the movie was definitely Dancing Queen. It was spectacular.;yes
Mamma Mia! (2008);6,5;A movie that will make you smile;02.07.2008;I loved this movie! It's so much fun, and it's impossible to watch it without smiling. The cast is amazing, and the music is fantastic. I would definitely recommend it to anyone who is looking for a feel-good movie.;yes
Mamma Mia! (2008);8;Feel good comedy we Greeks loved it!;05.07.2008;"Went to an open theater last night here in Athens-Greece and all the audience was laughing their hearts out! Who cares about showing a bit of grotesque concerning ""modern Greece,"" i wish the real Greece was as shown in Mamma Mia--all dancing and singing. Awesome! It might look a bit too much of a comedy, but that's the whole point. Just enjoy it,laugh your heart outs, don't' even think about criticizing it and just have a wonderful night with it. Entertaining at its best! When will you ever get a chance to travel to an ideal Greek island with Meryl Streep, Peter Brosnan, Julie Waters etc, all dancing and singing with super high comedy involved. No wannabes here, just chaotic entertainment!";yes
Mamma Mia! (2008);10;fell good movie;06.07.2008;just seen film at odeon Leicester sq real feel good film, Abba music is great (Im a queen Fan) all the audience loved the film dancing and singing along, just like the stage show but better the Greek island setting was great good atmosphere I longed for mythos beer Meryl was good, pierce was good Julie was great take my advice take the wife and just enjoy the film, sit back kick off the shoes and soak up the sun and songs, the story is good not great but it carries the plot along at a good level of enjoyment, the actors seem to enjoy the singing and it was great to see non singing stars sing, I love the Greek islands and this made me want to go back and take ABBA on my ipod to enjoy on the beach and at the bar, all I want now is for We will rock you to come to the screen then my life would be complete.;yes
Mamma Mia! (2008);8;Take a Chance... It's Surprisingly Brilliant!;08.07.2008;While the majority of the film is brilliantly silly, Meryl Streep gives us an emotional show stopping performance of 'The Winner Takes It All. Who wouldn't pay to see James Bond singing 'SOS'? Pierce Brosnan was humorously over-emoting everything but it worked perfectly within the context of the film.;yes
Mamma Mia! (2008);6,5;Not for everyone;10.07.2008;I have to be honest, I didn't love this movie. I found the story to be a bit cheesy, and the acting was over-the-top. However, I can see why some people would enjoy it. If you're a fan of ABBA or musicals, then you'll probably like it.;yes
Mamma Mia! (2008);3;Mamma Mia - Chaotic and Absurd;10.07.2008;"""Mamma Mia"" was artificial and downright contrived – there was no flow with the story, the songs were hardly relevant to the situations, and the song numbers were so unnecessarily long (take ""The Winner Takes It All"" for instance.) There was hardly any conflict – just a lot of miscommunication. It was like a lengthy and overly-acted music video of sorts.";yes
Mamma Mia! (2008);10;Best Surprise of the Year!! (From a none Abba Fan!);12.07.2008;I went to see the film with my girlfriend and wasn't really interested, although it did have a very impressive cast! I LOVED it! What a great surprise, I laughed the whole way through and found myself completely invested in the plot!! The acting, singing and dancing was superb, I honestly believe Streep (who looked fantastic!) could be up for an Oscar.;yes
Mamma Mia! (2008);4;Cringeworthy;13.07.2008;It's quite a feat for the scenery to steal the show but that's what happens in this dreadful transfer from the stage to film. I tend to avoid musicals apart from the Gilbert and Sullivan type - deliberately tongue in cheek. However, I have a feeling Mamma Mia is a fine stage musical - it just doesn't work when straight actors take the main roles. The piece requires singers primarily as there is very little acting...a bit of dancing is called for but that is typical for a stage musical and there are plenty of performers who specialise in this genre. Streep and Walters are just so wooden it is unbelievable. Brosnan can't sing and Firth, what was he doing there? The daughter character comes over as a 13year old but is supposed to be 20 or so. So silly. This film represents a missed opportunity. The costumes are so much better than the dreadful stuff ABBA really wore, and the Greek island looks really enticing. Other than that there is nothing of merit.;yes
