"word","freq"
"good",29
"one",27
"meryl",24
"streep",24
"time",23
"songs",22
"abba",21
"music",19
"singing",19
"see",18
"fun",17
"great",17
"pierce",17
"story",17
"audience",16
"dancing",14
"people",14
"brosnan",13
"plot",13
"sing",13
"think",13
"way",13
"well",13
"feel",12
"actors",11
"much",11
"musicals",11
"watch",11
"better",10
"cast",10
"greek",10
"will",10
"along",9
"can",9
"ever",9
"get",9
"looked",9
"love",9
"screen",9
"seen",9
"silly",9
"want",9
"back",8
"every",8
"everyone",8
"hate",8
"island",8
"know",8
"made",8
"stage",8
"sure",8
"two",8
"also",7
"amazing",7
"believe",7
"best",7
"characters",7
"colin",7
"dance",7
"enjoy",7
"even",7
"films",7
"find",7
"firth",7
"loved",7
"many",7
"movies",7
"song",7
"sound",7
"storyline",7
"amanda",6
"big",6
"bit",6
"come",6
"gorgeous",6
"greece",6
"look",6
"never",6
"quite",6
"three",6
"went",6
"wonderful",6
"another",5
"around",5
"beautiful",5
"character",5
"cinema",5
"definitely",5
"father",5
"going",5
"happy",5
"julie",5
"make",5
"makes",5
"mother",5
"must",5
"night",5
"older",5
"part",5
"pretty",5
"put",5
"queen",5
"real",5
"seeing",5
"seyfried",5
"singers",5
"soon",5
"started",5
"take",5
"takes",5
"theater",5
"though",5
"times",5
"top",5
"trying",5
"whole",5
"across",4
"bad",4
"board",4
"casting",4
"chemistry",4
"comedy",4
"daughter",4
"director",4
"dumb",4
"enjoyable",4
"entertaining",4
"entire",4
"especially",4
"family",4
"fan",4
"fantastic",4
"far",4
"favorite",4
"first",4
"friends",4
"funny",4
"high",4
"idea",4
"joy",4
"kept",4
"laughed",4
"laughing",4
"left",4
"long",4
"lot",4
"loud",4
"majority",4
"might",4
"minutes",4
"performance",4
"romantic",4
"sang",4
"saw",4
"scene",4
"seems",4
"stand",4
"still",4
"streeps",4
"super",4
"swedish",4
"thought",4
"voice",4
"work",4
"yes",4
"young",4
"abbas",3
"actually",3
"ago",3
"although",3
"baranski",3
"boys",3
"brilliant",3
"care",3
"choice",3
"choreography",3
"coming",3
"comments",3
"criticize",3
"donna",3
"easy",3
"either",3
"emotional",3
"expect",3
"experience",3
"face",3
"fact",3
"female",3
"full",3
"genre",3
"got",3
"hard",3
"heard",3
"heart",3
"hilarious",3
"incredible",3
"james",3
"job",3
"kind",3
"laugh",3
"leads",3
"least",3
"let",3
"life",3
"listened",3
"little",3
"lyrics",3
"mama",3
"matter",3
"middle",3
"moment",3
"money",3
"moulin",3
"numbers",3
"old",3
"open",3
"parts",3
"piece",3
"play",3
"point",3
"right",3
"roles",3
"rouge",3
"said",3
"say",3
"scenery",3
"scenes",3
"seriously",3
"setting",3
"show",3
"simply",3
"since",3
"singer",3
"sit",3
"sort",3
"superb",3
"surprise",3
"thinking",3
"together",3
"tunes",3
"walters",3
"watching",3
"wedding",3
"winner",3
"witnessed",3
"woman",3
"worked",3
"year",3
"absolutely",2
"acted",2
"acting",2
"actor",2
"age",2
"aged",2
"air",2
"album",2
"alone",2
"always",2
"amazed",2
"aneurysm",2
"anyone",2
"appreciate",2
"asked",2
"aspects",2
"attention",2
"audiences",2
"away",2
"awesome",2
"ball",2
"basis",2
"beach",2
"besides",2
"bond",2
"boyfriend",2
"bright",2
"brings",2
"bronsan",2
"brosnans",2
"brought",2
"built",2
"came",2
"cant",2
"certain",2
"chance",2
"cheerful",2
"cheesy",2
"chick",2
"christine",2
"claimed",2
"comes",2
"completely",2
"context",2
"convinced",2
"created",2
"credits",2
"crowd",2
"cute",2
"dad",2
"dark",2
"days",2
"despise",2
"despite",2
"devil",2
"direction",2
"dragged",2
"ear",2
"early",2
"else",2
"emotion",2
"energetic",2
"energy",2
"enjoyed",2
"enjoying",2
"entertainment",2
"entirely",2
"etc",2
"everybody",2
"exactly",2
"excellent",2
"except",2
"explodes",2
"favor",2
"fight",2
"fine",2
"flick",2
"forced",2
"form",2
"found",2
"frothy",2
"furthermore",2
"gets",2
"girl",2
"give",2
"glad",2
"group",2
"happiness",2
"hated",2
"headed",2
"hell",2
"hit",2
"horrible",2
"horror",2
"however",2
"indeed",2
"islands",2
"issues",2
"joyable",2
"kick",2
"kidding",2
"knew",2
"knight",2
"knowing",2
"lack",2
"last",2
"lead",2
"lighthearted",2
"likely",2
"listen",2
"literally",2
"location",2
"lovely",2
"main",2
"man",2
"manned",2
"material",2
"mature",2
"may",2
"men",2
"met",2
"minded",2
"mixing",2
"moments",2
"mothers",2
"moved",2
"next",2
"nice",2
"noticed",2
"number",2
"obviously",2
"okay",2
"opinion",2
"order",2
"original",2
"others",2
"paced",2
"party",2
"perfect",2
"performances",2
"person",2
"peter",2
"phyllida",2
"pieces",2
"place",2
"played",2
"pleaser",2
"plus",2
"pop",2
"popmusicloving",2
"popular",2
"positive",2
"possible",2
"prada",2
"quality",2
"quiet",2
"rather",2
"reason",2
"recommend",2
"refreshing",2
"rest",2
"ride",2
"role",2
"sadist",2
"seem",2
"seemed",2
"sets",2
"seven",2
"several",2
"short",2
"shown",2
"simple",2
"single",2
"sitting",2
"skarsgĺrd",2
"smile",2
"smiled",2
"somehow",2
"sophie",2
"sos",2
"source",2
"star",2
"stellan",2
"stop",2
"surprising",2
"tears",2
"ten",2
"timeless",2
"trained",2
"truth",2
"twice",2
"typical",2
"understand",2
"unfortunately",2
"vacation",2
"version",2
"visually",2
"wears",2
"week",2
"whine",2
"without",2
"women",2
"wondered",2
"works",2
"world",2
"years",2
"youngsters",2
"zero",2
"ability",1
"able",1
"absolute",1
"according",1
"achieve",1
"achievement",1
"acquired",1
"act",1
"active",1
"actorsinger",1
"actress",1
"actresses",1
"adaptation",1
"add",1
"adds",1
"admission",1
"admit",1
"admitted",1
"admittedly",1
"advanced",1
"advice",1
"ageing",1
"agent",1
"agnetha",1
"agree",1
"agrees",1
"aiming",1
"aisles",1
"albums",1
"almost",1
"amazement",1
"amazingly",1
"american",1
"amongst",1
"amusement",1
"andersson",1
"andrews",1
"angelic",1
"annoyed",1
"ans",1
"anything",1
"anyway",1
"apart",1
"appeared",1
"applause",1
"array",1
"asks",1
"aspect",1
"athensgreece",1
"atmosphere",1
"attack",1
"attempt",1
"attempted",1
"attraction",1
"bachelor",1
"backed",1
"backup",1
"balance",1
"ballad",1
"band",1
"bar",1
"baranskis",1
"barbiturate",1
"bash",1
"basline",1
"becomes",1
"beer",1
"began",1
"believable",1
"believing",1
"belt",1
"belting",1
"beneath",1
"benny",1
"beyond",1
"biggest",1
"bill",1
"blast",1
"blew",1
"blink",1
"boat",1
"bollywood",1
"bond”",1
"bonding",1
"bonds",1
"bones",1
"boot",1
"born",1
"bottle",1
"bought",1
"bouncy",1
"bout",1
"brain",1
"breaking",1
"breathtaking",1
"bride",1
"brilliantly",1
"broaday",1
"broadway",1
"bronson",1
"builds",1
"bumbumbum",1
"bunch",1
"buoyancy",1
"burst",1
"butterflies",1
"call",1
"cam",1
"camera",1
"camp",1
"cancer",1
"candidates",1
"cares",1
"carries",1
"case",1
"casual",1
"catastrophic",1
"catches",1
"catchy",1
"cause",1
"cavorting",1
"certainly",1
"champagne",1
"chaotic",1
"chartbusters",1
"charts",1
"cheerfulness",1
"chicago",1
"chills",1
