"word","freq","value","type"
"awful",9,-3,"Negatywne"
"worst",8,-3,"Negatywne"
"good",7,3,"Negatywne"
"love",6,3,"Negatywne"
"please",5,1,"Negatywne"
"bad",4,-3,"Negatywne"
"admit",3,-1,"Negatywne"
"dreadful",3,-3,"Negatywne"
"enjoy",3,2,"Negatywne"
"funny",3,4,"Negatywne"
"ridiculous",3,-3,"Negatywne"
"appalling",2,-2,"Negatywne"
"avoid",2,-1,"Negatywne"
"best",2,3,"Negatywne"
"big",2,1,"Negatywne"
"bloody",2,-3,"Negatywne"
"disappointment",2,-2,"Negatywne"
"dull",2,-2,"Negatywne"
"fan",2,3,"Negatywne"
"feeling",2,1,"Negatywne"
"fun",2,4,"Negatywne"
"grand",2,3,"Negatywne"
"great",2,3,"Negatywne"
"hard",2,-1,"Negatywne"
"huge",2,1,"Negatywne"
"laughed",2,1,"Negatywne"
"loved",2,3,"Negatywne"
"prepared",2,1,"Negatywne"
"pretty",2,1,"Negatywne"
"recommend",2,2,"Negatywne"
"silly",2,-1,"Negatywne"
"stop",2,-1,"Negatywne"
"terrible",2,-3,"Negatywne"
"torture",2,-4,"Negatywne"
"true",2,2,"Negatywne"
"unbelievable",2,-1,"Negatywne"
"want",2,1,"Negatywne"
"waste",2,-1,"Negatywne"
"winner",2,4,"Negatywne"
"worth",2,2,"Negatywne"
"ability",1,2,"Negatywne"
"afraid",1,-2,"Negatywne"
"angry",1,-3,"Negatywne"
"attacked",1,-1,"Negatywne"
"avoided",1,-1,"Negatywne"
"awkward",1,-2,"Negatywne"
"better",1,2,"Negatywne"
"brilliant",1,4,"Negatywne"
"broke",1,-1,"Negatywne"
"care",1,2,"Negatywne"
"chance",1,2,"Negatywne"
"comedy",1,1,"Negatywne"
"conflict",1,-2,"Negatywne"
"criticism",1,-2,"Negatywne"
"damn",1,-4,"Negatywne"
"delight",1,3,"Negatywne"
"depressed",1,-2,"Negatywne"
"destruction",1,-3,"Negatywne"
"determined",1,2,"Negatywne"
"dire",1,-3,"Negatywne"
"disgraced",1,-2,"Negatywne"
"dreary",1,-2,"Negatywne"
"drunk",1,-2,"Negatywne"
"dumped",1,-2,"Negatywne"
"ecstatic",1,4,"Negatywne"
"effective",1,2,"Negatywne"
"embarrassed",1,-2,"Negatywne"
"embarrassing",1,-2,"Negatywne"
"embarrassment",1,-2,"Negatywne"
"evil",1,-3,"Negatywne"
"exaggerating",1,-2,"Negatywne"
"excuse",1,-1,"Negatywne"
"failed",1,-2,"Negatywne"
"failure",1,-2,"Negatywne"
"fair",1,2,"Negatywne"
"faith",1,1,"Negatywne"
"fine",1,2,"Negatywne"
"fool",1,-2,"Negatywne"
"fortunate",1,2,"Negatywne"
"free",1,1,"Negatywne"
"god",1,1,"Negatywne"
"goodness",1,3,"Negatywne"
"growing",1,1,"Negatywne"
"happy",1,3,"Negatywne"
"hell",1,-4,"Negatywne"
"hope",1,2,"Negatywne"
"hoping",1,2,"Negatywne"
"horrendous",1,-3,"Negatywne"
"hurt",1,-2,"Negatywne"
"inspired",1,2,"Negatywne"
"insult",1,-2,"Negatywne"
"invite",1,1,"Negatywne"
"irony",1,-1,"Negatywne"
"irritating",1,-3,"Negatywne"
"justified",1,2,"Negatywne"
"kind",1,2,"Negatywne"
"lame",1,-2,"Negatywne"
"leave",1,-1,"Negatywne"
"lost",1,-3,"Negatywne"
"loving",1,2,"Negatywne"
"lunatic",1,-3,"Negatywne"
"mad",1,-3,"Negatywne"
"matter",1,1,"Negatywne"
"mess",1,-2,"Negatywne"
"mindless",1,-2,"Negatywne"
"missed",1,-2,"Negatywne"
"mistake",1,-2,"Negatywne"
"moaning",1,-2,"Negatywne"
"nice",1,3,"Negatywne"
"opportunity",1,2,"Negatywne"
"pain",1,-2,"Negatywne"
"picturesque",1,2,"Negatywne"
"poor",1,-2,"Negatywne"
"poorer",1,-2,"Negatywne"
"reach",1,1,"Negatywne"
"relentless",1,-1,"Negatywne"
"rich",1,2,"Negatywne"
"ruining",1,-2,"Negatywne"
"sad",1,-2,"Negatywne"
"sadly",1,-2,"Negatywne"
"save",1,2,"Negatywne"
"shared",1,1,"Negatywne"
"somber",1,-2,"Negatywne"
"sorry",1,-1,"Negatywne"
"spirit",1,1,"Negatywne"
"stable",1,2,"Negatywne"
"steal",1,-2,"Negatywne"
"stopped",1,-1,"Negatywne"
"straight",1,1,"Negatywne"
"strange",1,-1,"Negatywne"
"success",1,2,"Negatywne"
"top",1,2,"Negatywne"
"treasure",1,2,"Negatywne"
"trust",1,1,"Negatywne"
"ugly",1,-3,"Negatywne"
"underestimating",1,-1,"Negatywne"
"useless",1,-2,"Negatywne"
"win",1,4,"Negatywne"
"wish",1,1,"Negatywne"
"woeful",1,-3,"Negatywne"
"wonderful",1,4,"Negatywne"
"worse",1,-3,"Negatywne"
"wrong",1,-2,"Negatywne"
"yeah",1,1,"Negatywne"
"yes",1,1,"Negatywne"
"good",29,3,"Pozytywne"
"fun",17,4,"Pozytywne"
"great",17,3,"Pozytywne"
"better",10,2,"Pozytywne"
"love",9,3,"Pozytywne"
"silly",9,-1,"Pozytywne"
"want",9,1,"Pozytywne"
"hate",8,-3,"Pozytywne"
"amazing",7,4,"Pozytywne"
"best",7,3,"Pozytywne"
"enjoy",7,2,"Pozytywne"
"loved",7,3,"Pozytywne"
"big",6,1,"Pozytywne"
"wonderful",6,4,"Pozytywne"
"beautiful",5,3,"Pozytywne"
"happy",5,3,"Pozytywne"
"pretty",5,1,"Pozytywne"
"top",5,2,"Pozytywne"
"bad",4,-3,"Pozytywne"
"comedy",4,1,"Pozytywne"
"dumb",4,-3,"Pozytywne"
"entertaining",4,2,"Pozytywne"
"fan",4,3,"Pozytywne"
"fantastic",4,4,"Pozytywne"
"favorite",4,2,"Pozytywne"
"funny",4,4,"Pozytywne"
"joy",4,3,"Pozytywne"
"laughed",4,1,"Pozytywne"
"laughing",4,1,"Pozytywne"
"super",4,3,"Pozytywne"
"yes",4,1,"Pozytywne"
"brilliant",3,4,"Pozytywne"
"care",3,2,"Pozytywne"
"criticize",3,-2,"Pozytywne"
"easy",3,1,"Pozytywne"
"hard",3,-1,"Pozytywne"
"hilarious",3,2,"Pozytywne"
"kind",3,2,"Pozytywne"
"laugh",3,1,"Pozytywne"
"matter",3,1,"Pozytywne"
"superb",3,5,"Pozytywne"
"winner",3,4,"Pozytywne"
"alone",2,-2,"Pozytywne"
"amazed",2,2,"Pozytywne"
"appreciate",2,2,"Pozytywne"
"awesome",2,4,"Pozytywne"
"bright",2,1,"Pozytywne"
"certain",2,1,"Pozytywne"
"chance",2,2,"Pozytywne"
"cheerful",2,2,"Pozytywne"
"convinced",2,1,"Pozytywne"
"cute",2,2,"Pozytywne"
"dragged",2,-1,"Pozytywne"
"energetic",2,2,"Pozytywne"
"enjoying",2,2,"Pozytywne"
"excellent",2,3,"Pozytywne"
"favor",2,2,"Pozytywne"
"fight",2,-1,"Pozytywne"
"fine",2,2,"Pozytywne"
"forced",2,-1,"Pozytywne"
"glad",2,3,"Pozytywne"
"happiness",2,3,"Pozytywne"
"hated",2,-3,"Pozytywne"
"hell",2,-4,"Pozytywne"
"horrible",2,-3,"Pozytywne"
"lack",2,-2,"Pozytywne"
"lighthearted",2,1,"Pozytywne"
"lovely",2,3,"Pozytywne"
"mature",2,2,"Pozytywne"
"nice",2,3,"Pozytywne"
"perfect",2,3,"Pozytywne"
"popular",2,3,"Pozytywne"
"positive",2,2,"Pozytywne"
"recommend",2,2,"Pozytywne"
"smile",2,2,"Pozytywne"
"smiled",2,2,"Pozytywne"
"stop",2,-1,"Pozytywne"
"tears",2,-2,"Pozytywne"
"ability",1,2,"Pozytywne"
"active",1,1,"Pozytywne"
"admit",1,-1,"Pozytywne"
"admitted",1,-1,"Pozytywne"
"advanced",1,1,"Pozytywne"
"agree",1,1,"Pozytywne"
"agrees",1,1,"Pozytywne"
"amusement",1,3,"Pozytywne"
"annoyed",1,-2,"Pozytywne"
"applause",1,2,"Pozytywne"
"attack",1,-1,"Pozytywne"
"attraction",1,2,"Pozytywne"
"backed",1,1,"Pozytywne"
"breathtaking",1,5,"Pozytywne"
"cancer",1,-1,"Pozytywne"
"cares",1,2,"Pozytywne"
"catastrophic",1,-4,"Pozytywne"
"chaotic",1,-2,"Pozytywne"
