"word","freq"
"abba",15
"one",14
"streep",13
"even",12
"meryl",11
"pierce",11
"singing",11
"stage",11
"brosnan",10
"can",10
"sing",10
"songs",10
"think",10
"awful",9
"ever",9
"cinema",8
"much",8
"never",8
"seen",8
"will",8
"worst",8
"actors",7
"cast",7
"firth",7
"get",7
"good",7
"plot",7
"story",7
"colin",6
"greek",6
"julie",6
"look",6
"love",6
"make",6
"music",6
"musicals",6
"say",6
"see",6
"walters",6
"acting",5
"bit",5
"characters",5
"old",5
"please",5
"real",5
"show",5
"three",5
"watch",5
"well",5
"absolutely",4
"amanda",4
"bad",4
"baranski",4
"christine",4
"dancing",4
"dvd",4
"got",4
"however",4
"island",4
"little",4
"main",4
"may",4
"maybe",4
"now",4
"piece",4
"seemed",4
"seyfried",4
"thing",4
"though",4
"time",4
"watching",4
"wedding",4
"actually",3
"admit",3
"along",3
"box",3
"camera",3
"catchy",3
"character",3
"daddy",3
"dance",3
"daughter",3
"direction",3
"dreadful",3
"ears",3
"enjoy",3
"etc",3
"father",3
"felt",3
"films",3
"friends",3
"funny",3
"gimme",3
"greece",3
"left",3
"made",3
"mother",3
"movies",3
"nobody",3
"nothing",3
"numbers",3
"painful",3
"people",3
"pop",3
"probably",3
"production",3
"put",3
"ridiculous",3
"roles",3
"said",3
"seems",3
"set",3
"shallow",3
"song",3
"sophie",3
"sound",3
"stellan",3
"supposed",3
"take",3
"thought",3
"towards",3
"trivial",3
"wanted",3
"way",3
"went",3
"whole",3
"wife",3
"without",3
"years",3
"act",2
"ago",2
"almost",2
"anyone",2
"appalling",2
"around",2
"artificial",2
"avoid",2
"away",2
"become",2
"believe",2
"best",2
"big",2
"bill",2
"bloody",2
"called",2
"cheese",2
"chick",2
"cinematic",2
"complete",2
"contrived",2
"costumes",2
"course",2
"critical",2
"dads",2
"decent",2
"disappointment",2
"done",2
"donna",2
"dull",2
"every",2
"everyone",2
"exit",2
"extras",2
"faculties",2
"fan",2
"feel",2
"feeling",2
"first",2
"fun",2
"going",2
"grand",2
"great",2
"hard",2
"hardly",2
"harry",2
"history",2
"hotel",2
"huge",2
"juke",2
"know",2
"laughed",2
"leads",2
"least",2
"less",2
"lines",2
"looked",2
"looking",2
"looks",2
"loud",2
"loved",2
"makes",2
"mamadonna",2
"masses",2
"mean",2
"member",2
"mind",2
"money",2
"mostly",2
"mugging",2
"must",2
"needs",2
"night",2
"offensive",2
"particular",2
"past",2
"performances",2
"person",2
"picture",2
"pinewood",2
"place",2
"prepared",2
"pretty",2
"public",2
"quite",2
"recommend",2
"rosie",2
"sake",2
"sam",2
"screen",2
"shot",2
"shots",2
"showing",2
"silly",2
"skarsgard",2
"stand",2
"stop",2
"streeps",2
"substance",2
"sung",2
"takes",2
"tanya",2
"teeth",2
"terrible",2
"throughout",2
"thrown",2
"torture",2
"true",2
"truly",2
"twenty",2
"unbelievable",2
"understand",2
"unflattering",2
"upcoming",2
"used",2
"usual",2
"usually",2
"utter",2
"want",2
"waste",2
"white",2
"winner",2
"woman",2
"wooden",2
"words",2
"work",2
"worth",2
"abbacadraba",1
"abbas",1
"ability",1
"able",1
"according",1
"actingstreep",1
"action",1
"actor",1
"actress",1
"acts",1
"adaption",1
"addlepated",1
"admitting",1
"aegean",1
"aerial",1
"afraid",1
"afternoon",1
"allowed",1
"also",1
"altman",1
"alvin",1
"always",1
"amateur",1
"american",1
"americans",1
"angry",1
"another",1
"anyway",1
"apart",1
"appear",1
"approach",1
"apt",1
"art",1
"asinine",1
"asked",1
"aspirations",1
"assault",1
"association",1
"assured",1
"attacked",1
"attempt",1
"audience",1
"avoided",1
"awfully",1
"awkward",1
"back",1
"bad”",1
"bag",1
"banker",1
"bargained",1
"basic",1
"batty",1
"beach",1
"bearable",1
"beautifullycrafted",1
"behind",1
"belonged",1
"bess",1
"better",1
"biological",1
"bits",1
"blair",1
"bloated",1
"board",1
"boataficionado",1
"boats",1
"bodies",1
"boot",1
"bops",1
"borderline",1
"botched",1
"bought",1
"bride",1
"brief",1
"brilliant",1
"bring",1
"brits",1
"broke",1
"bronson",1
"brosnam",1
"brosnan…",1
"brosnans",1
"budget",1
"burst",1
"buying",1
"call",1
"came",1
"campbell",1
"candidates",1
"cap",1
"care",1
"carousel",1
"casting",1
"catherine",1
"celebration",1
"chance",1
"characterisation",1
"cheek",1
"cheesy",1
"chemistry",1
"chicago",1
"chipmunks",1
"choice",1
"choreographed",1
"chorus",1
"chucked",1
"cinematography",1
"class",1
"classic",1
"classics",1
"claustrophobic",1
"cliff",1
"clumsy",1
"collection",1
"comedy",1
"comes",1
"coming",1
"commercial",1
"conception",1
"concerned",1
"concert",1
"conflict",1
"consider",1
"continually",1
"convey",1
"costars",1
"country",1
"covering",1
"crawling",1
"create",1
"cringeworthy",1
"criticism",1
"crown",1
"crucial",1
"cup",1
"damn",1
"dark",1
"dash",1
"day",1
"days",1
"debacle",1
"decided",1
"definitive",1
"deliberately",1
"delight",1
"depressed",1
"despite",1
"destruction",1
"determined",1
"develop",1
"developed",1
"diary",1
"dilute",1
"dire",1
"directed",1
"director",1
"directors",1
"discerning",1
"disgraced",1
"distance",1
"doh",1
"donation",1
"donen",1
"donkey",1
"donnas",1
"dotted",1
"downright",1
"drama",1
"dreary",1
"drink",1
"drivel",1
"drunk",1
"dumbing",1
"dumped",1
"eagerplease",1
"ear",1
"eardrums",1
"early",1
"earth",1
"ecstatic",1
"edited",1
"editing",1
"effective",1
"either",1
"elitist",1
"embarrassed",1
"embarrassing",1
"embarrassment",1
"end",1
"ending",1
"enough",1
"ensemble",1
"entertainment",1
"enthusiasm",1
"enticing",1
"entire",1
"entirely",1
"europeans",1
"eurovision",1
"everybody",1
"evidence",1
"evil",1
"exaggerating",1
"except",1
"exception",1
"excre",1
"excreta",1
"excruciating",1
"excuse",1
"exist",1
"expect",1
"experiencing",1
"extreme",1
"face",1
"facile",1
"failed",1
"failure",1
"fair",1
"faith",1
"fans",1
"far",1
"fashion",1
"fatuous",1
"feasts",1
"feat",1
"feet",1
"female",1
"fiancé",1
"field",1
"figure",1
"final",1
"finally",1
"find",1
"fine",1
"fingers",1
"firstly",1
"five",1
"flick",1
"flicks",1
"flogging",1
"flow",1
"following",1
"fool",1
"footbridges",1
"force",1
"foreign",1
"forgets",1
"forgot",1
"former",1
"fortunate",1
"forward",1
"found",1
"frankly",1
"free",1
"fully",1
"fumble",1
"gaffes",1
"garbage",1
"gave",1
"gender",1
"genre",1
"george",1
"ghastly",1
"gilbert",1
"girl",1
"girls",1
"glittering",1
"god",1
"goer",1
"goes",1
"goodness",1
"goodwill",1
"goofy",1
"grab",1
"gradually",1
"grater",1
"grease",1
"grossing",1
"growing",1
"guessed",1
"half",1
"hammy",1
"hams",1
"hands",1
"happens",1
"happy",1
"harris",1
"hearing",1
"heavily",1
"hell",1
"high",1
"highest",1
"hippie",1
"hit",1
"hits",1
"hollywood",1
"honestly",1
"hope",1
"hoping",1
"horrendous",1
"horror",1
"hum",1
"humdrum",1
"hurriedly",1
"hurt",1
"hype",1
"hystrionics",1
"idolizes",1
"illconstructed",1
"imaginative",1
"immature",1
"immediately",1
"incidentally",1
"incredibly",1
"inexplicably",1
"informed",1
"innocuous",1
"inspired",1
"instance",1
"instead",1
"insult",1
"intelligence",1
"intentions",1
"international",1
"intimate",1
"invite",1
"invited",1
"invites",1
"irony",1
"irritating",1
"isle",1
"johnsons",1
"jules",1
"justified",1
"kalokairi",1
"karaoke",1
"kept",1
"killjoys",1
"kind",1
"knight",1
"knowing",1
"labour",1
"lackluster",1
"ladies",1
"lady",1
"lame",1
"last",1
"later",1
"lates",1
"lay",1
"leap",1
"leave",1
"legacy",1
"lengthy",1
"let",1
"lets",1
"level",1
"light",1
"likely",1
"lily",1
